ID,NAME,ADDRESS,CITY,REGION,POSTALCODE,LAT,LON
ICL0001654,Sri Ram Enterprises,"16/11/16/L/15/2, Afzal Nagar, Malakpet",Hyderabad,Telangana,500013,17.38952,78.51288
ICL0001682,Sree Syamala Heart Clinic,"Rajanigandha Complex, Dilsukh Nagar Main Road, Chaitanyapuri",Hyderabad,Telangana,500060,17.36785,78.53274
ICL0001729,The Deaf Way,"103,1st Floor & 301,3rd Floor,3-6-565,D M Estate,Street No 8,Himayat Nagar",Hyderabad,Telangana,500013,17.39256,78.51351
ICL0001731,S S Ladies Emporium,"16-11-515/B/13,Near Pochamma Temple,Geetanjali Children Wear,T V Tower Road,Dilsukh Nagar",Hyderabad,Telangana,500060,17.36761,78.52304
ICL0001742,Deccan Fancy Bangle Store,"Sanjay Nagar, Near By Mahmood Khan Jewellers,Yousufguda",Hyderabad,Telangana,500045,17.44887,78.42084
ICL0001754,Andhra Prakash Rao C H,"H No 12-1-331/100/2,Asif Nagar",Hyderabad,Telangana,500028,17.38744,78.44748
ICL0001768,Balaji Tailors Ladies Specialist,"Shop No 10-3-13/3,Near Dena Bank,East Marredpally",Hyderabad,Telangana,500026,17.44725,78.5112
ICL0001852,Vijay Steel Palace,"8-3-940/4,Yalla Reddy Street,Backside Vegetable Market,Ameerpet",Hyderabad,Telangana,500082,17.43431,78.44601
ICL0001876,Isp India (P) Limited,"Bhupal Towers 2nd/3rd Floor H No 6-3-1090/A,Somajiguda",Hyderabad,Telangana,500082,17.42348,78.46015
ICL0001896,Shree Srujana Electronics,"H.No. 4-137/A, Behind Bus Stop, Chandanagar Main Road, Chanda Nagar",Hyderabad,Telangana,500050,17.4956,78.3231
ICL0001933,Al- Kareem,"Lakshmi Narasimha Nagar, Sri Krishna Nagar, Yousufguda, Near Police Lines Bus Stop, Sri Krishna Nagar Road",Hyderabad,Telangana,500045,17.43304,78.42983
ICL0002000,Utopia Personality Development,"8-3-214/2/C,Ganesh Complex,Ameerpet",Hyderabad,Telangana,500038,17.43797,78.4427
ICL0002057,Sri Rama Digitals,"1-1/2,Boduppal Road,Hanuman Nagar,Near Hanuman Nagar Bus Stop,Boduppal",Hyderabad,Telangana,500092,17.4157,78.58584
ICL0002110,A M Testing Services Private Limited,"8-2/321/1,Devikripa,14th Road,Opposite Road No 14 Lane,Banjara Hills",Hyderabad,Telangana,500034,17.42065,78.4376
ICL0002205,Andhra Pradesh Pollution Control Board,"A-3,Industrial Estate,Opposite Police Station,Sanath Nagar",Hyderabad,Telangana,500018,17.46789,78.42122
ICL0002244,Rose Studio,"West Venktapuram,Mes Colony Road,Near Super Market,Alwal",Hyderabad,Telangana,500010,17.4981,78.50319
ICL0002293,Esbee Travels,Alkapuri Opposite Sai Baba Temple,Hyderabad,Telangana,500035,17.36553,78.5547
ICL0002322,Rmr Consultants And Construction,"Chatrnaka,B/S Old Police Station,Chandrayanagutta",Hyderabad,Telangana,500053,17.34318,78.47799
ICL0002392,Al Hameed & Sons,"Shop No 4-1-176/180,Subhash Road,Kingsway",Hyderabad,Telangana,500003,17.43569,78.49274
ICL0002506,Amalgamated Holdings Ltd,"Mylargada Road,Baban Basthi,Near Sri Bhoo Lakshmi Devi Temple,Padmarao Nagar",Hyderabad,Telangana,500061,17.42202,78.51675
ICL0002617,Mukesh Kirana & General Stores,"8-4-548/1/A,Main Kunj,Erragadda",Hyderabad,Telangana,500018,17.45703,78.42678
